Sale_ID,Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,Product_Name,BranchName,DealerName
TX18130663,BR0001,DLR0030,Ren-M128,1615567,3,DT02531,10,9,2021,Engine,AC Cars Motors,Pulse Car Hub
TX18130664,BR0012,DLR0015,Ren-M128,96186,2,DT00400,21,4,2019,Tyres,Falcon Auto Sales,Vroom Auto Sales
TX18130665,BR0010,DLR0024,Hyu-M158,1458754,4,DT00114,4,4,2021,Engine,Nexa Auto Gallery,Orbit Auto Dealers
TX18130666,BR0013,DLR0009,BMW-M1,1302399,4,DT01327,27,6,2021,Engine,Trinity Auto World,PrimeDrive Dealership
TX18130667,BR0006,DLR0025,Hon-M218,1552026,4,DT04146,27,5,2019,Seats,Zenith Auto Hub,Revo Auto Partners
TX18130668,BR0007,DLR0015,Tat-M188,360683,3,DT03997,21,4,2021,Engine,Crestline Motors,Vroom Auto Sales
TX18130669,BR0015,DLR0010,Tat-M188,1060840,3,DT04560,23,12,2022,Engine,Torque Wheel Motors,DriveMax Motors
TX18130670,BR0004,DLR0028,Hyu-M158,374261,5,DT02759,7,3,2021,Seats,Velocity Auto Mall,Autograph Motors
TX18130671,BR0001,DLR0027,Ren-M128,641030,3,DT02127,10,11,2021,Engine,AC Cars Motors,DriveIQ Showroom
TX18130672,BR0003,DLR0021,Hon-M218,553174,4,DT03809,22,9,2023,Tyres,Wiesmann Motors,Cityscape Dealers
TX18130673,BR0013,DLR0016,Hyu-M158,411127,4,DT01216,1,10,2019,Steering,Trinity Auto World,Royal Wheels Dealership
TX18130674,BR0011,DLR0021,Hyu-M158,1965655,3,DT01606,24,5,2022,Steering,Glide Motors,Cityscape Dealers
TX18130675,BR0007,DLR0010,Hon-M218,96223,2,DT00265,23,6,2020,Tyres,Crestline Motors,DriveMax Motors
TX18130676,BR0006,DLR0005,BMW-M1,565830,3,DT04503,11,5,2023,Brakes,Zenith Auto Hub,Prestige Auto Dealers
TX18130677,BR0016,DLR0002,Hyu-M158,646927,1,DT00618,12,2,2019,Tyres,BlueSky Car Lounge,Subaru Motors
TX18130678,BR0016,DLR0030,Hyu-M158,1637392,4,DT04162,23,2,2022,Brakes,BlueSky Car Lounge,Pulse Car Hub
